Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
PEt₂F (diethylfluorophosphane),L,P(F)(CC)CC,0,,1093
InEt₂ (diethylindium),X,[In+](CC)CC,1,,1094
Hex (hexyl),X,[CH2-]CCCCC,-1,,1095
SC₁₂H₈ (dibenzothiophene),L,C1C=CC2C3C=CC=CC=3SC=2C=1,0, 9-Thiafluorene,1096
D (deuterido),X,[H-],-1,,1097
GeMe₃ (trimethylgermyl),X,[Ge-](C)(C)C,-1,,1098
TeTol (tolyltellanyl),X,C1C=C(C)C=CC=1[Te-],-1,,1099
"NH₂CH=CHNH₂ (1,2-diaminoethene)",L2,C(=N)C=N,0,kappa-2 N,1100
Furyl (furyl),X,O1[C-]=CC=C1,-1,kappa C,1101
"Dmpm (μ₂-1,2-bis-(dimethylphosphino)methane)",L2,P(C)(C)CP(C)C,0,,1102
(MeO₂C)C≡C(CO₂Me) (dimethylacetylenedicarboxylate X₂),X2,[C-](/C(=O)OC)=[C-]/C(=O)OC,-2,,1103
TolC≡CTol (ditolylethyne),L,C(C1C=CC(C)=CC=1)#CC1C=CC(C)=CC=1,0,,1104
CH₂I (iodomethyl),X,[CH2-]I,-1,,1105
C(OEt)Bz (ethoxybenzylcarbene),L,[C-2](OCC)CC1C=CC=CC=1,-2,,1106
Dedtc (diethyldithiocarbamato-κS),X,[S-]C(N(CC)CC)=S,-1,,1107
SeO₃ (selenito-κ²O),X2,[Se]([O-])([O-])=O,-2,,1108
SEt₂O (diethylsulfoxide-κS),L,C(C)S(=O)CC,0,,1109
SPh₂O (diphenylsulfoxide-κS),L,C1(C=CC=CC=1)S(=O)C1C=CC=CC=1,0,,1110
C(NHMe)₂ (di{methylamino}carbene),L,N(C)[C-2]NC,-2,,1111
SeCH₂Se (methanediselenyl-κ²Se),X2,C([Se-])[Se-],-2,,1112
"Te₂C₆H₄-o (benzene-1,2-ditellurolato-κ²Te)",X2,C1C=CC=C([Te-])C=1[Te-],-2,,1113
S (μ₄-thio X₂L₂),L2X2,[S-2],-2,,1114
Se(CH₂)₄O (selenoxane-κSe),L,C1C[Se]CCO1,0,,1115
Me₃CC≡CCMe₃ (di-t-butyl-ethyne),L,C(C(C)(C)C)#CC(C)(C)C,0,,1116
NH₂Tol (p-tolylamine),L,C1C=C(C)C=CC=1N,0,,1117
C(NHMe)SEt (methylaminomethyl(thioethoxy)carbene),L,[C-2](NC)SCC,-2,,1118
CH₂=C=CMe₂ (dimethylallene),L,C=C=C(C)C,0,,1119
S₂CH (dithioformato-κS),X,C(=S)[S-],-1,,1120
CH=CMe₂ (dimethylvinyl),X,[CH-]=C(C)C,-1,,1121
CH=CPh₂ (diphenylvinyl),X,[CH-]=C(C1C=CC=CC=1)C1C=CC=CC=1,-1,,1122
Dmae (bis(dimethylarsino)ethane-κ²As),L2,[As](C)(C1C=CC=CC=1)CC[As](C)C1C=CC=CC=1,0,this points to the SMILES - bis(methyl-phenylarsino)ethane-kappa 2 As),1123
IO₃ (iodato-κO),X,I([O-])(=O)=O,-1,,1124
PCyPh₂ (cyclohexyl-diphenyl-phosphane),L,P(C1CCCCC1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,1125
C₄Et₄ (η⁴-tetraethylcyclobutadiene),LX2,C1(CC)C(CC)=C(CC)C=1CC,0,,1126
SbMesPh₂ (mesityldiphenylstibane),L,[Sb](C1C=CC=CC=1)(C1C=CC=CC=1)C1C(C)=CC(C)=CC=1C,0,,1127
Xe (xenon),L,[Xe],0,,1128
"[9]aneS₃ (1,4,7-trithiocyclononane-κS)",L,S1CCSCCSCC1,0,,1129
"C(NBuᵗ)CH=CH(NBuᵗ) (1,3-di-t-butylimidazol-2-ylidene)",L,[C-]1=[N+](C(C)(C)C)C=CN1C(C)(C)C,0,,1130
SePh₂ (diphenylselane),L,[Se](C1C=CC=CC=1)C1C=CC=CC=1,0,,1131
NC₅H₄NH₂ (4-aminopyridine),L,C1C=C(N)C=CN=1,0,bonding to pyr nitrogen,1132
C(NHBuᵗ)₂ (bis{t-butylamino}carbene),L,[C-2](NC(C)(C)C)NC(C)(C)C,-2,,1133
"C(NMe)CH=CH(NMe) (1,3-di-methylimidazol-2-ylidene)",L,[C-]1N(C)C=C[N+]=1C,0,,1134
C₁₂H₂₀ (cyclododecyne),L,C1CCCCC#CCCCCC1,0,,1135
SbMes₃ (trimesitylstibane),L,[Sb](C1C(C)=CC(C)=CC=1C)(C1C(C)=CC(C)=CC=1C)C1C(C)=CC(C)=CC=1C,0,,1136
SePPh₃ (triphenylphosphane selenide),L,[Se-][P+](C)(C)C,0,[Se]=P(C)(C)C,1137
"C(NEt)CH=CH(NEt) (1,3-di-ethylimidazol-2-ylidene)",L,[C-]1N(CC)C=C[N+]=1CC,0,,1138
"C(NEt)C₆H₄(NEt) (1,3-di-ethylbenzimidazol-2-ylidene)",L,C1C=CC2N(CC)[C-]=[N+](CC)C=2C=1,0,,1139
NC₅H₄CN (4-cyanopyridine),L,C1C=C(C#N)C=CN=1,0,bonding to pyr nitrogen,1140
C(NHMe)(NMe₂) (dimethylamino-methylamino-carbene),L,[C-2](N(C)C)NC,-2,,1141
"C(NMe)C₆H₄(NMe) (1,3-di-methylbenzimidazol-2-ylidene)",L,C1C=CC2N(C)[C-]=[N+](C)C=2C=1,0,,1142
Me₃CC≡CMe (t-butyl-methyl-ethyne),L,C(C(C)(C)C)#CC,0,,1143
Me₃SiC≡CBuᵗ (trimethylsilyl-t-butyl-ethyne),L,[Si](C)(C)(C)C#CC(C)(C)C,0,,1144
NC₅H₄Ph (4-phenylpyridine),L,N1C=CC(C2C=CC=CC=2)=CC=1,0,,1145
Dmdtc (dimethyldithiocarbamato-κS),X,C(=S)([S-])N(C)C,-1,,1146
AsF₃ (trifluoroarsane),L,[As](F)(F)F,0,,1147
SeC(NH₂)₂ (selenourea),L,NC(=[Se])N,0,,1148
S₂CPh (dithiobenzoato-κS),X,C([S-])(=S)CC1C=CC=CC=1,-1,,1149
S₂PMe₂ (dithiodimethylphosphinato-κS),X,P([S-])(C)(=S)C,-1,,1150
S₉ (nonasulfanediyl-κ²S),X2,[S-]SSSSSSS[S-],-2,,1151
TeCF₃ (trifluoromethyl-tellanyl),X,[Te-]C(F)(F)F,-1,,1152
V(CO)₆ (hexacarbonylvanadium),X,[V](C#O)(C#O)(C#O)(C#O)(C#O)C#O,0,,1153
NH(CH₂)₂O(CH₂)₂ (morpholine),L,C1COCCN1,0,kappa N,1154
C(NMe₂)₂ (bis{dimethylamino}carbene),L,[C-2](N(C)C)N(C)C,-2,,1155
Terpy (terpyridine-κN),L,C1(C2N=CC=CC=2)C=CC=C(C2C=CC=CN=2)N=1,0,,1156
Dmg (dimethylglyoximato),X2,C(/C)(=N\[O-])\C(=N\[O-])\C,-2,kappa 2 N,1157
C₄H₈Se (tetrahydroselenophene),L,[Se]1CCCC1,0,,1159
S=CH(NH₂) (dimethylthioformamido-κO),L,S=CN(C)C,0,Wrong formula; kappa S,1160
O=C(NH₂)₂ (μ₂-urea),L2,O=C(N)N,0,,1161
I (μ₂-iodo),X,[I-],-1,,1162
SPrⁿ (n-propylthio-μ₂),L,[S-]CCC,-1,,1163
dibenzo-18-crown-6 (dibenzo-18-crown-6-κ⁶O),L6,C12C=CC=CC=1OCCOCCOC1C=CC=CC=1OCCOCCO2,0,,1164
Co group (L type),L,[Co],0,,1165
Fe group (L type),L,[Fe],0,,1166
"ONC₉H₆ (quinoline-8-olato-κN,κO)",LX,C1C=CC2C=CC(C)=NC=2C=1[O-],-1,,1167
SCy (cyclohexylthio),X,C1CCCCC1[S-],-1,,1168
Fe group (X type),X,[Fe],0,,1169
C₆Me₅ (pentamethylphenyl),X,C1(C)C(C)=[C-]C(C)=C(C)C=1C,-1,,1170
Pt group (X type),X,[Pt],0,,1171
Os(CO)₄ (tetracarbonylosmium Z),Z,[Os](C#O)(C#O)(C#O)C#O,0,,1172
NH₂SiMe₃ (trimethylsilylamine),L,C[Si](N)(C)C,0,,1173
Ru(CO)₄ (tetracarbonylruthenium Z),Z,[Ru](C#O)(C#O)(C#O)C#O,0,,1174
SeC₆F₅ (pentafluorophenylselenyl),X,C1(F)C(F)=C(F)C(F)=C(F)C=1[Se-],-1,,1175
SiBuᵗ₃ (tri-t-butylsilyl),X,[Si-](C(C)(C)C)(C(C)(C)C)C(C)(C)C,-1,,1176
