Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
N(CH₂CH₂S)₃ (tris(2-thiolatoethyl)amine),LX3,N(CC[S-])(CC[S-])CC[S-],-3,,221
SeSi(SiMe₃)₃ (tris-(trimethylsilyl)-selenyl),X,[Se-][Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,222
Mes (mesityl),X,C1(C)C=C(C)C=C(C)[C-]=1,-1,,223
O₂C₆H₄-o (catecholato-κ²O),X2,C1C([O-])=C([O-])C=CC=1,-2,,224
S (μ₂-thio X–X),X2,[S-2],-2,,225
Se₂ (μ₂-perseleno),X2,[Se-][Se-],-2,,226
N(CH₂CH₂)₃CH (quinuclidine),L,N12CCC(CC1)CC2,0,,227
N (nitrido; ≡N),X3,[N-3],-3,,228
NPPh₃ (triphenylphosphane nitride),LX,[N-]=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,229
NCPh (benzonitrile),L,C1C=CC=C(C#N)C=1,0,,230
"[12]aneN₄ (1,4,7,10-tetraazacyclododecane-κ⁴N)",L4,C1NCCNCCNCCNC1,0,,231
PMe₂Ph (dimethylphenylphosphane),L,P(C1C=CC=CC=1)(C)C,0,,232
OPMe₂Ph (dimethylphenylphosphane oxide),L,O=P(C)(C)C1C=CC=CC=1,0,,233
OPMe₃ (trimethylphosphane oxide),L,P(C)(C)(C)=O,0,,234
Hfa (hexafluoroacetylacetonato),LX,C(F)(F)(F)C(=O)CC([O-])C(F)(F)F,-1,,235
SO₄ (sulphato-κO),X,S(=O)([O-])(=O)=O,-2,,236
N₂C₃H₄ (Imidazole),L,N1C=NC=C1,0,,237
O(CH₂CO₂)₂ (oxydiacetato-κ³O),LX2,O(C(=O)[O-])C(=O)[O-],-2,,238
O=C(NMe₂)₂ (tetramethylurea),L,N(C)(C)C(N(C)C)=O,0,,239
SEtMe (ethylmethylthioether),L,S(CC)C,0,,240
"Nta (2,2',2''-nitrilotriacetato-κN,κ³O)",LX3,N(CC(=O)[O-])(CC(=O)[O-])CC(=O)[O-],-3,,241
